darkstore_id,latitude,longitude,avg_orders_last_2w,avg_distance_km_last_2w,avg_active_riders_last_2w,order_std_last_2w,rider_std_last_2w,temperature_c,rainfall_mm,humidity_percent,aqi,extreme_heat_hours_week,heavy_rain_hours_week,total_active_riders_week,num_claims_last_week,avg_earning_per_hour_last2w
DS_26,13.285176,80.169312,78,6.2,116,6.71,29.2,28.04,17.62,59.27,86,15,3,146,49,542.03
DS_27,12.699674,79.981233,122,2.91,11,14.77,5.28,43.24,6.08,47.45,253,9,19,63,2,1174.57
DS_28,13.014234,79.836979,128,10.66,37,17.89,21.9,42.86,13.09,41.11,290,7,16,204,28,1178.4
DS_29,13.092415,80.308259,93,11.58,63,23.22,4.56,38.08,9.75,50.94,298,20,17,437,7,845.34
DS_30,12.54645,79.884912,282,6.77,101,8.42,14.98,38.44,7.33,45.37,164,24,10,215,4,2463.12
DS_31,13.107545,80.011943,52,4.21,85,37.63,27.29,25.11,12.91,79.27,259,26,14,153,30,434.18
DS_32,12.670524,80.17273,236,8.65,103,37.02,23.75,44.7,18.95,45.62,271,20,32,261,26,2087.98
DS_33,12.565052,80.195092,128,6.52,67,20.6,12.04,42.56,0.83,76.21,190,15,17,179,32,1153.82
DS_34,13.448886,80.220408,170,4.52,56,30.34,17.89,42.9,18.38,59.28,231,21,25,53,17,1556.23
DS_35,13.465632,79.916379,230,2.38,70,9.54,7.46,38.18,12.18,43.67,52,11,8,290,23,2025.09
DS_36,13.308397,80.065816,188,10.9,113,23.68,28.82,31.9,16.15,80.64,262,16,4,201,25,1609.77
DS_37,12.804614,80.232036,183,9.97,49,43.59,22.13,42.87,7.68,68.98,219,15,0,186,30,1614.1
DS_38,12.597672,80.478873,96,10.29,95,34.73,13.11,30.83,9.44,51.79,255,8,4,196,13,756.28
DS_39,13.184233,80.309342,56,6.4,27,9.68,11.58,36.25,17.38,84.73,89,38,14,239,24,609.86
DS_40,12.940152,80.445823,164,9.53,23,43.14,9.44,26.99,8.3,42.26,123,32,5,218,31,1606.76
DS_41,12.622038,80.333548,159,7.81,34,35.63,24.24,43.44,10.69,50.09,115,29,23,177,38,1560.94
DS_42,12.995177,80.214202,117,5.75,19,25.39,14.73,27.82,0.4,77.6,109,23,5,141,40,1145.32
DS_43,12.534389,79.934416,262,10.43,109,36.14,11.92,29.5,3.17,75.47,286,16,22,126,13,2260.85
DS_44,13.40932,80.26668,50,11.99,57,12.78,27.44,36.16,12.83,54.46,278,11,4,127,47,442.44
DS_45,12.75878,80.236366,233,10.99,57,29.77,7.06,40.28,14.34,43.1,60,8,11,483,47,2119.95
DS_46,13.162522,80.221728,264,9.76,70,32.81,10.12,37.39,11.65,82.9,169,5,11,163,26,2340.75
DS_47,12.811711,80.14285,126,9.48,62,46.75,12.31,29.64,2.87,55.68,178,24,16,123,21,1110.08
DS_48,13.020068,80.17006,92,8.5,18,8.01,10.02,25.02,8.91,49.79,203,9,1,174,37,694.58
DS_49,13.04671,80.03411,205,10.54,20,21.87,18.81,40.14,7.1,65.8,91,8,20,261,6,1932.99
DS_50,12.684854,80.163519,206,6.93,36,47.16,19.23,44.7,9.91,85.51,239,3,24,242,32,1890.48
DS_51,13.469585,79.938289,67,3.82,68,14.77,4.48,41.2,17.41,42.18,172,10,13,125,42,545.96
DS_52,13.275133,80.363622,136,9.68,67,41.59,6.9,34.2,15.52,78.29,238,20,11,276,40,1216.77
DS_53,13.439499,79.930044,269,11.2,22,5.07,8.36,43.08,1.68,68.62,254,29,26,389,32,2538.75
DS_54,13.394827,79.859476,122,5.41,74,6.16,4.9,33.2,17.81,61.27,141,5,4,381,23,993.79
DS_55,13.0979,80.105372,294,9.83,112,19.74,6.37,35.5,9.44,77.2,277,17,4,189,25,2551.83
DS_56,13.421874,80.260815,239,4.74,20,39.58,9.47,34.54,14.88,88.29,262,3,16,216,49,2175.4
DS_57,12.588493,80.106402,156,11.43,66,9.69,12.33,33.95,2.8,51.46,111,11,4,462,41,1337.43
DS_58,12.695983,79.993728,55,8.83,76,22.23,24.37,40.5,13.41,47.18,251,8,23,235,30,453.07
DS_59,12.545227,80.19072,193,7.69,75,10.92,8.88,35.54,4.73,85.64,61,14,24,372,26,2169.78
DS_60,12.82533,80.042902,278,9.8,119,15.06,21.09,31.33,8.77,73.45,287,35,24,376,12,1642.67
DS_61,12.888677,80.453007,178,10.13,115,27.63,4.56,30.16,0.34,61.9,204,8,3,264,30,1458.11
DS_62,12.771349,80.445852,71,10.92,33,19.36,20.77,25.75,3.03,68.66,244,5,6,126,31,655.02
DS_63,13.328738,80.15166,95,11.01,93,14.54,24.46,36.66,1.84,77.28,77,10,22,124,22,864.24
DS_64,12.856753,80.029519,239,2.53,58,22.71,19.33,29.6,4.79,78.65,243,13,26,458,36,2673.21
DS_65,12.780935,80.315993,200,3.23,49,36.55,8.44,27.96,2.0,85.99,205,24,10,165,39,1791.95
DS_66,13.042696,79.825699,198,10.26,88,10.37,11.92,38.08,13.84,61.34,292,13,5,389,44,1712.89
DS_67,12.640924,80.132338,100,11.46,79,26.58,24.74,38.62,0.58,54.67,272,15,12,98,15,714.05
DS_68,13.302197,80.035426,177,5.08,93,17.36,14.66,40.04,12.35,71.98,156,14,11,368,38,1477.59
DS_69,12.574551,80.444375,144,2.09,95,22.04,9.89,35.07,2.81,60.79,198,19,24,288,7,1272.93
DS_70,13.486887,79.808402,87,5.23,11,41.97,28.18,42.88,18.9,69.73,184,8,4,332,17,807.35
DS_71,13.272245,80.18697,205,5.83,63,46.84,20.21,43.73,18.66,61.0,291,18,23,247,26,1860.53
DS_72,12.698716,80.318465,93,9.61,24,15.93,24.75,41.15,4.51,47.65,144,11,9,410,8,891.38
DS_73,12.505522,80.139513,140,2.48,57,33.35,3.66,37.71,12.29,63.47,63,19,20,107,27,1287.94
DS_74,13.315461,79.859782,216,4.13,107,35.45,12.16,31.07,0.56,74.55,216,7,8,171,21,1823.79
DS_75,13.206857,80.480723,219,10.94,63,42.91,15.39,44.66,18.64,79.96,167,2,12,171,10,1953.01
DS_76,13.229007,80.162607,91,3.55,55,45.46,18.86,30.48,10.46,64.67,175,18,2,314,21,807.88
DS_77,13.27127,80.22993,109,9.59,66,26.06,8.13,29.05,0.86,48.26,152,2,16,262,48,903.79
DS_78,12.574045,79.965627,175,5.61,64,49.22,16.44,33.84,6.85,60.73,296,24,17,434,13,1617.22
DS_79,12.858466,80.138449,106,8.63,69,48.69,21.51,26.14,1.54,79.31,122,2,4,291,22,1044.26
DS_80,12.615869,80.100405,126,2.74,104,27.79,12.34,44.57,7.86,60.64,264,15,22,291,1,1014.47
DS_81,13.363103,79.852427,145,4.87,39,29.39,21.67,36.77,13.4,74.83,111,10,22,125,14,1594.75
DS_82,13.123298,79.874312,56,6.25,37,35.05,13.52,36.14,9.4,65.36,61,19,15,242,49,550.55
DS_83,12.830898,80.386231,100,10.57,61,21.82,15.68,38.12,7.67,52.06,270,13,10,397,4,1201.13
DS_84,12.563558,79.967874,274,7.63,106,34.79,6.63,34.94,2.38,79.81,87,12,35,457,28,2398.94
DS_85,12.810982,79.936471,160,2.45,50,28.14,20.58,25.64,4.9,44.21,235,25,12,68,32,1436.11
DS_86,12.825183,80.153438,287,10.02,30,6.59,9.06,37.25,2.0,66.24,233,15,8,171,47,2626.65
DS_87,13.229606,80.338123,254,2.55,119,43.37,25.38,39.32,16.15,50.44,88,2,14,191,43,2049.41
DS_88,13.137557,79.843363,81,11.34,96,47.32,17.94,33.33,2.7,43.35,135,33,23,447,29,768.56
DS_89,13.387213,80.203766,56,4.12,51,6.18,18.13,40.15,11.91,65.15,53,21,24,267,45,556.97
DS_90,12.972215,79.883447,125,6.88,22,40.52,27.64,29.54,6.85,64.98,97,9,3,385,16,1082.27
DS_91,12.619594,79.825523,217,2.72,54,22.36,7.52,29.43,4.52,75.35,184,19,2,393,0,1959.16
DS_92,13.213245,79.836921,192,7.62,99,31.35,17.32,28.23,12.79,77.24,109,4,20,209,13,1623.11
DS_93,13.260785,80.383915,108,6.97,63,27.5,13.32,32.44,9.14,76.39,217,12,3,311,46,913.97
DS_94,13.061277,79.882581,162,6.1,28,29.81,29.09,41.94,8.0,60.48,57,23,15,162,43,1641.76
DS_95,13.270967,79.831606,134,2.36,36,27.28,24.4,41.56,11.86,71.58,173,7,27,399,16,1190.61
DS_96,12.993796,80.10653,189,10.79,49,43.4,23.45,32.66,9.83,68.85,165,19,6,302,8,1746.91
DS_97,13.022733,80.390795,126,10.03,16,35.76,8.51,36.78,6.07,61.08,107,10,1,328,34,1217.19
DS_98,12.927541,79.983686,281,8.33,34,23.57,9.41,39.42,11.18,69.86,234,18,0,68,30,2538.34
DS_99,12.525419,80.095199,219,7.72,58,35.99,3.79,29.82,13.39,87.36,84,14,17,266,11,1509.22
DS_100,12.607891,79.827946,88,8.95,113,48.43,20.24,28.36,0.53,49.64,122,24,16,266,44,717.43
DS_101,12.531429,80.114355,112,3.44,45,8.61,13.01,44.44,9.32,85.29,164,15,7,179,1,971.75
DS_102,13.13641,80.204329,179,11.33,80,22.46,11.43,37.35,1.15,42.67,62,6,9,251,14,1556.86
DS_103,12.814356,80.199635,78,4.85,93,44.17,20.2,44.63,3.73,55.42,88,9,17,474,33,581.12
DS_104,13.008571,80.032699,110,8.56,33,38.26,25.37,31.76,11.21,54.41,133,24,21,230,36,1063.84
DS_105,13.407566,80.020873,289,8.07,70,47.07,6.59,39.06,17.32,71.32,70,15,10,460,40,2585.39
DS_106,12.749292,79.874637,78,8.37,101,6.79,27.8,29.45,17.66,46.56,96,16,22,157,29,671.03
DS_107,12.910383,80.056759,277,10.79,78,43.82,3.93,30.22,1.4,84.12,260,6,0,441,13,2423.78
DS_108,13.255551,79.869646,87,4.96,61,40.63,5.57,35.24,8.38,81.43,51,21,15,154,44,795.51
DS_109,12.728798,80.336617,56,9.49,45,41.68,25.63,31.39,11.66,72.6,93,16,7,92,3,514.16
DS_110,12.57698,80.476392,79,7.98,104,31.88,16.3,28.35,2.94,62.92,281,4,24,338,7,643.37
DS_111,12.789751,80.479052,264,2.76,60,7.34,28.36,30.26,15.31,86.65,79,0,13,476,22,2310.62
DS_112,12.661221,80.40555,164,6.14,42,29.26,15.46,25.71,14.88,81.54,264,2,23,260,6,1455.65
DS_113,13.429698,80.220555,269,10.38,62,23.35,28.01,39.09,18.07,64.97,177,15,18,168,16,2215.21
DS_114,13.30812,80.290606,233,5.15,97,28.72,9.47,34.84,0.17,75.09,104,23,7,463,21,1960.76
DS_115,13.133404,79.999644,264,6.82,83,38.31,19.64,26.88,4.33,68.35,89,14,18,339,37,2356.55
DS_116,13.371461,80.241539,213,6.89,47,31.82,29.85,28.43,16.54,69.4,254,3,21,383,25,1885.1
DS_117,13.303672,80.118955,219,8.18,53,18.17,13.15,27.05,13.41,56.55,146,17,16,405,7,1998.28
DS_118,12.68657,80.137412,270,10.84,14,31.98,3.04,37.25,17.89,63.1,273,0,22,69,21,2541.25
DS_119,13.392559,80.330444,53,3.74,40,8.74,4.73,26.88,1.14,43.91,141,16,23,367,39,479.42
DS_120,13.039342,79.997343,261,7.05,18,5.24,26.19,40.09,11.94,57.87,73,23,9,51,44,2451.5
DS_121,13.30744,80.022628,54,6.24,41,23.07,16.28,25.41,11.38,74.79,219,14,21,265,21,570.83
DS_122,13.396091,80.447249,95,4.96,50,39.07,17.49,29.99,0.71,87.66,77,23,9,137,39,864.6
DS_123,12.818003,79.839357,124,11.2,14,42.02,24.58,42.81,10.27,88.15,271,19,3,302,4,1254.07
DS_124,12.610052,80.139944,179,2.08,60,29.74,24.91,39.37,12.19,67.79,166,33,12,272,8,1621.25
DS_125,12.727935,80.438961,154,3.22,63,44.06,15.89,26.46,3.83,70.33,297,9,6,257,19,1341.48
DS_126,12.927108,80.227254,103,9.33,100,10.67,26.17,41.42,5.47,49.29,154,10,14,167,21,861.44
DS_127,13.318015,80.182485,157,4.63,37,48.38,15.65,34.86,12.81,74.77,142,17,7,117,33,1399.54
DS_128,13.360731,79.974821,265,9.23,52,46.48,21.23,41.94,9.37,43.53,147,1,9,275,34,2961.28
DS_129,12.506952,80.040293,108,10.32,21,31.97,3.9,37.01,17.16,54.23,228,5,6,128,35,1035.15
DS_130,13.010747,80.396434,82,4.55,78,7.64,6.73,38.64,6.85,73.42,199,15,18,388,18,700.85
DS_131,12.917411,80.191453,71,3.92,81,25.44,25.99,44.87,5.33,55.52,138,23,2,196,27,549.84
DS_132,12.722108,80.16032,96,3.45,26,13.07,11.45,29.65,19.7,42.49,127,6,8,417,6,902.9
DS_133,12.619865,79.869706,183,4.0,17,33.28,12.04,37.48,18.22,81.59,251,33,20,84,40,1781.65
DS_134,12.837615,79.81122,73,4.67,107,13.55,20.9,34.21,0.58,55.52,123,18,13,197,37,688.23
DS_135,13.44291,80.47458,270,10.69,96,26.68,19.0,25.79,15.41,43.16,185,11,6,408,2,2370.47
DS_136,12.823203,80.06389,226,9.7,27,14.25,5.22,25.29,2.21,43.74,63,17,11,346,31,2111.08
DS_137,13.018791,80.222249,273,2.02,19,13.18,23.68,27.38,0.55,52.59,94,22,7,171,45,2506.09
DS_138,13.203019,79.855801,166,10.74,48,16.16,19.67,37.98,5.47,48.9,87,6,15,462,44,1500.57
DS_139,12.86363,80.27818,288,2.79,50,6.31,26.09,36.34,5.39,78.72,209,3,2,448,30,2533.5
DS_140,13.471782,80.452797,271,8.55,117,37.23,17.46,36.07,16.39,56.08,294,30,13,81,44,1901.22
DS_141,13.462447,80.202966,287,3.51,53,18.8,14.19,25.64,14.21,80.23,111,25,12,190,24,2550.08
DS_142,12.751782,79.888281,175,2.62,78,36.41,13.03,34.39,19.63,48.69,286,10,10,440,32,1623.52
DS_143,12.997249,80.207205,100,9.6,52,34.41,3.12,43.49,14.23,64.64,145,20,6,427,46,870.79
DS_144,12.800878,80.336443,167,6.67,90,7.98,4.07,32.95,8.37,74.4,116,4,7,359,4,1423.94
DS_145,12.78484,80.084492,90,7.99,56,19.04,6.54,37.5,13.98,72.6,261,0,12,65,28,748.09
DS_146,12.536887,80.415886,299,6.25,84,30.51,28.1,40.6,19.99,70.06,110,18,15,315,30,2630.26
DS_147,13.109564,80.254078,116,2.67,57,46.33,26.78,40.68,14.2,86.24,62,21,21,298,25,1097.76
DS_148,13.002679,80.429474,138,9.4,28,23.06,16.42,35.39,15.23,51.43,168,34,27,233,20,1338.59
DS_149,12.551479,80.236454,141,10.2,30,27.72,7.87,42.16,18.77,64.69,136,10,9,243,33,1315.49
DS_150,12.778646,79.891902,170,2.41,117,38.76,6.95,32.83,2.27,84.2,132,0,3,215,36,1349.46
DS_151,13.408266,80.016784,256,5.76,12,41.15,9.92,42.77,14.1,43.89,129,7,24,102,48,2890.76
DS_152,12.739562,79.941256,130,7.57,113,46.55,27.54,29.8,17.02,42.79,277,3,23,131,0,1053.43
DS_153,12.644895,80.436179,179,8.05,65,27.37,17.08,30.6,19.09,51.67,276,33,33,83,3,1722.94
DS_154,12.989453,80.33228,140,7.78,52,13.72,24.71,26.06,4.22,71.65,96,21,12,390,46,1286.58
DS_155,13.48565,80.273479,149,8.93,10,39.4,16.68,40.91,10.08,52.99,160,14,16,134,46,1240.07
DS_156,12.742055,80.010676,127,11.67,97,10.65,19.46,33.34,13.61,49.51,163,16,7,434,21,1080.08
DS_157,13.172136,79.928831,92,5.91,45,23.83,19.47,29.58,4.95,62.94,103,17,7,256,15,974.08
DS_158,13.26162,80.329516,172,7.57,15,33.27,3.85,29.64,12.01,70.68,120,14,34,251,44,1684.86
DS_159,12.737638,80.131911,81,8.99,83,36.13,15.02,43.03,5.15,52.43,229,17,6,108,45,708.57
DS_160,13.228216,79.958053,189,7.92,113,37.99,26.33,41.68,6.67,55.03,278,16,29,404,31,1610.05
DS_161,12.867783,80.231635,72,5.87,55,13.71,16.21,36.07,8.83,70.68,121,16,0,74,33,601.04
DS_162,13.132306,79.828234,193,8.24,107,49.17,14.75,37.32,10.58,87.29,74,24,14,465,20,1643.26
DS_163,13.13353,80.028319,221,8.5,97,13.03,17.22,34.49,8.99,73.74,72,22,23,80,26,1948.32
DS_164,13.035775,80.12799,51,7.85,32,9.32,13.28,32.83,9.86,79.15,251,19,18,123,41,521.81
DS_165,12.59029,79.903571,56,4.05,29,34.88,16.92,43.31,5.97,58.34,207,7,3,430,36,503.7
DS_166,13.335302,80.489258,70,7.06,62,45.95,6.65,27.51,3.18,53.61,274,10,5,52,2,543.06
DS_167,12.82078,79.946368,235,10.84,47,30.17,29.13,33.37,0.95,62.71,60,2,9,391,42,2104.76
DS_168,12.686519,79.891247,144,10.69,44,31.8,3.92,31.89,3.92,80.36,212,24,11,151,44,1385.18
DS_169,12.540775,79.942474,200,9.51,43,29.23,16.05,34.96,11.64,62.81,76,6,24,243,33,1848.51
DS_170,13.090893,80.338343,175,8.97,119,6.92,8.67,34.15,15.72,82.34,166,26,15,264,6,1519.38
DS_171,13.177564,80.097854,237,3.53,59,35.66,4.58,35.38,3.38,89.44,116,9,5,170,28,2090.75
DS_172,12.516588,80.195791,170,6.59,56,21.12,20.6,27.8,2.17,43.6,96,11,24,474,2,1557.34
DS_173,13.012093,79.814706,74,3.11,45,47.11,29.6,35.26,14.99,42.27,290,11,13,409,44,627.85
DS_174,12.726496,79.824102,84,10.17,25,13.41,23.24,29.85,6.1,47.48,227,18,12,367,37,825.68
DS_175,13.145173,80.112078,276,4.91,96,18.6,9.86,28.69,19.03,59.22,57,18,24,230,40,3157.97
DS_176,12.674366,80.371659,222,9.67,117,27.72,16.32,26.3,14.29,46.55,232,14,21,393,1,1854.43
DS_177,13.190938,80.419667,184,10.15,58,26.48,4.34,40.25,6.54,83.53,126,20,20,426,11,1655.74
DS_178,12.886735,79.860695,246,10.92,74,23.01,17.36,33.55,5.79,41.16,219,20,2,82,14,2187.71
DS_179,13.43673,80.176854,81,9.54,72,19.15,5.69,37.53,10.47,55.79,116,4,20,290,15,692.58
DS_180,12.637521,80.439261,102,7.65,61,11.62,24.45,39.55,1.58,49.23,197,12,14,140,2,891.02
DS_181,12.841066,80.071581,118,7.98,82,41.94,4.53,38.59,2.35,86.58,287,24,2,190,26,975.18
DS_182,12.613474,80.380696,74,5.21,85,25.19,3.25,34.41,3.52,73.47,222,8,4,88,45,594.49
DS_183,13.424694,79.893587,144,3.77,69,30.78,26.26,32.76,15.49,85.6,84,33,17,78,22,1296.98
DS_184,13.377339,80.454776,261,3.31,110,29.59,28.45,32.52,10.28,88.62,126,22,14,154,32,2206.44
DS_185,12.757942,80.325996,135,3.82,26,30.9,5.34,37.8,0.21,64.85,197,17,30,74,47,1229.23
DS_186,13.159984,80.458934,151,11.34,76,36.72,10.53,34.9,13.47,51.72,73,7,5,324,26,1327.09
DS_187,13.317222,80.273632,126,3.64,47,33.32,23.03,41.98,8.47,49.69,234,8,22,498,23,1127.5
DS_188,13.055201,80.054383,280,9.24,38,17.33,17.57,42.49,10.22,51.15,104,5,17,148,37,1642.82
DS_189,13.029651,80.456727,179,3.85,40,29.92,28.63,28.41,4.28,75.43,186,23,2,65,26,1647.76
DS_190,12.741852,79.992897,135,11.75,108,16.0,13.51,27.72,11.04,42.02,143,17,8,121,46,1150.76
DS_191,12.593103,80.032521,110,5.67,68,31.5,3.09,37.61,19.58,42.57,266,9,7,248,30,932.52
DS_192,13.397216,80.290566,186,6.12,63,24.44,3.53,31.02,1.47,70.41,193,31,32,134,14,1741.3
DS_193,13.400418,80.335721,100,6.05,111,6.77,18.25,25.37,5.68,72.1,296,23,23,267,34,818.43
DS_194,13.133101,80.450582,51,10.16,62,38.03,23.31,42.77,4.86,73.26,232,12,23,493,35,491.04
DS_195,12.83903,79.943362,222,4.18,35,17.36,24.35,29.54,4.97,58.59,249,10,10,234,23,1957.42
DS_196,12.84921,80.358599,81,10.31,22,46.41,27.61,43.59,7.57,80.3,285,1,7,222,16,758.54
DS_197,13.225956,80.316982,249,8.57,66,17.63,9.19,39.35,16.36,66.68,107,7,21,485,44,2186.01
DS_198,13.39711,79.844656,129,4.2,28,49.85,22.94,40.25,18.26,45.27,113,17,0,311,33,732.83
DS_199,13.387086,80.071056,146,2.65,105,25.83,25.33,29.03,4.04,79.85,269,2,1,493,0,1149.42
DS_200,13.279876,79.997936,124,9.75,36,6.19,25.58,29.68,10.86,87.65,125,28,29,342,19,1245.52
DS_201,13.142032,80.013143,209,4.19,112,8.43,14.11,35.43,12.74,43.0,164,30,14,359,5,1794.18
DS_202,12.58414,80.488063,57,10.89,22,8.69,19.9,28.44,10.44,59.57,265,14,6,53,4,550.37
DS_203,12.661629,80.249944,273,3.3,61,7.53,17.89,31.11,8.68,64.38,98,20,24,224,28,2471.05
DS_204,13.398554,80.302373,134,8.16,107,17.05,19.13,31.43,3.84,47.32,78,24,1,390,5,1135.86
DS_205,13.106429,80.483632,266,8.92,73,19.61,10.61,28.19,9.76,83.39,256,6,12,214,49,2340.38
DS_206,12.509197,80.064041,170,8.58,67,10.01,21.45,29.1,8.02,54.21,167,17,21,284,32,1525.36
DS_207,12.601472,80.361288,69,5.16,28,24.72,22.17,40.77,15.91,79.15,131,20,20,219,44,672.64
DS_208,13.163502,80.104172,242,10.76,92,21.44,8.29,28.34,15.27,73.55,56,20,19,225,37,2185.84
DS_209,12.505062,80.408674,198,9.7,12,33.63,14.98,25.57,2.68,69.9,126,14,15,277,28,1934.53
DS_210,12.660808,79.92646,56,7.1,76,13.81,14.4,37.59,1.77,49.61,260,17,3,238,43,449.98
DS_211,13.048734,80.46338,170,8.03,35,46.13,23.22,44.52,18.16,51.04,289,0,24,495,9,1554.34
DS_212,13.191895,79.95314,171,7.66,15,28.22,21.0,31.62,10.71,42.37,284,3,14,488,31,1597.16
DS_213,13.151961,80.028354,266,11.47,22,33.07,15.86,27.37,17.16,52.04,171,9,28,470,24,2523.24
DS_214,12.724269,80.329335,186,10.96,119,6.78,20.62,36.41,1.16,57.27,118,16,2,64,27,1574.96
DS_215,13.212179,80.075629,135,4.35,111,30.16,10.1,43.13,10.53,81.66,139,29,17,303,28,1173.66
DS_216,12.737249,80.225748,179,4.63,36,21.56,9.27,40.68,10.79,58.32,51,1,16,108,34,1606.33
DS_217,12.8254,80.111201,294,11.81,114,46.59,9.48,37.45,17.21,77.73,210,14,5,496,46,2596.62
DS_218,13.246491,80.319659,196,4.37,97,44.85,3.8,31.3,1.95,61.97,225,12,1,296,31,1650.3
DS_219,13.149633,79.959832,109,11.53,19,33.69,21.66,35.84,4.81,79.24,86,18,30,499,45,1112.23
DS_220,13.349223,79.840921,247,8.5,25,39.55,29.62,26.82,8.13,88.81,138,6,12,347,35,2297.19
DS_221,13.157613,80.009951,236,2.5,32,34.01,11.34,38.58,17.32,51.99,176,11,14,421,6,2198.9
DS_222,13.068309,80.132016,118,5.36,56,5.76,28.11,39.5,18.78,83.12,266,16,12,208,9,1038.92
DS_223,12.593675,79.917614,94,6.76,21,36.64,19.38,44.3,19.85,71.09,152,13,23,311,45,921.98
DS_224,12.867716,80.048358,111,10.33,37,12.97,9.07,30.21,19.18,80.86,79,22,18,324,33,1095.18
DS_225,12.765202,80.079988,187,5.29,86,35.72,3.32,25.37,0.12,72.58,90,20,17,215,32,1617.99
DS_226,12.74399,79.840174,172,5.11,27,5.47,22.54,35.91,0.95,61.2,53,0,16,171,25,1581.38
DS_227,13.473011,80.208315,242,11.2,67,18.99,21.81,39.14,2.95,51.4,132,8,24,466,47,1652.47
DS_228,12.893098,80.41904,75,2.79,11,28.26,9.19,40.81,6.98,43.5,268,15,0,409,47,702.97
DS_229,13.392047,79.90622,267,7.52,55,19.99,11.98,28.87,16.6,66.78,293,8,1,395,12,2377.77
DS_230,13.131139,80.218466,237,7.04,26,36.23,27.25,30.24,17.85,89.52,160,15,0,230,29,2211.97
DS_231,13.294811,80.265317,67,2.57,96,28.52,7.25,35.25,3.74,76.9,216,1,7,303,31,277.66
DS_232,13.002637,80.093534,108,2.88,73,48.19,25.56,31.61,12.39,56.37,73,9,3,463,32,846.53
DS_233,13.076904,80.290768,198,5.82,96,21.1,7.57,42.21,18.35,81.36,99,24,17,175,5,1733.15
DS_234,12.992518,80.087512,95,3.34,74,37.48,16.01,34.48,9.27,78.45,86,17,22,380,35,785.31
DS_235,12.695243,80.153246,61,6.78,63,42.61,16.47,40.99,2.07,54.08,230,12,23,159,1,530.02
DS_236,13.222452,79.805147,279,8.09,52,16.41,15.75,36.61,9.16,40.72,74,1,8,498,6,1801.24
DS_237,12.780772,80.284204,255,8.91,87,38.94,10.77,40.46,7.52,45.91,142,12,14,191,29,2262.94
